Algorithm,Nodes,Conv. Mean (ms),Conv. Std (ms),Conv. 95% CI,Messages Mean,Messages Std,Elections Mean,Leader Changes Mean,Trials
Bully,5,5339.17,636.24,±124.70,19.1,46.3,1.0,1.0,100
Bully,10,5233.18,681.77,±133.63,19.8,43.3,1.0,1.1,100
Bully,50,4915.24,398.11,±78.03,39.4,31.2,2.0,10.5,100
Bully,100,4479.38,186.84,±36.62,97.1,86.8,5.2,49.4,100
Ring,5,1118.57,538.84,±105.61,146.6,1.4,0.1,1.0,100
Ring,10,1237.51,829.26,±162.53,146.7,1.4,0.1,1.0,100
Ring,50,3732.32,4059.85,±795.73,146.0,2.0,0.0,1.0,100
Ring,100,6766.60,1390.00,±273.81,160.9,20.6,0.1,1.0,99
PraSLE,5,3213.70,251.50,±49.29,387.8,1.3,1.0,1.0,100
PraSLE,10,3077.58,197.39,±38.69,388.2,1.5,1.0,1.0,100
PraSLE,50,2871.40,78.28,±15.34,369.9,28.5,1.0,1.0,100
PraSLE,100,2816.05,62.13,±12.18,270.4,31.1,1.0,1.0,100
Adaptive-PraSLE,5,2013.79,261.25,±51.21,15.8,3.2,1.0,3.4,100
Adaptive-PraSLE,10,1866.46,192.64,±37.76,19.2,3.2,1.0,5.2,100
Adaptive-PraSLE,50,1680.49,116.07,±22.75,20.6,4.4,1.0,5.7,100
Adaptive-PraSLE,100,1633.19,142.20,±27.87,20.7,4.5,1.0,5.4,100
