trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,ring,10,12490,12779,3,8,true
2,ring,10,NA,13224,5,8,true
3,ring,10,13633,12111,3,8,true
4,ring,10,12630,NA,3,10,true
5,ring,10,13290,12622,3,8,true
6,ring,10,12852,12850,3,8,true
7,ring,10,NA,NA,5,10,true
8,ring,10,12830,13704,3,8,true
9,ring,10,12791,NA,3,10,true
10,ring,10,NA,12955,5,8,true
