trial,algorithm,node_count,convergence_time_ms
2,prasle-ring,10,2917
1,prasle-ring,10,3076
5,prasle-ring,10,2887
4,prasle-ring,10,2938
3,prasle-ring,10,3059
9,prasle-ring,10,3047
6,prasle-ring,10,2840
8,prasle-ring,10,3077
10,prasle-ring,10,2925
7,prasle-ring,10,3193
