trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-line,50,2946,3150,1,26,true
2,prasle-line,50,2833,2920,1,41,true
3,prasle-line,50,2866,2862,17,37,true
4,prasle-line,50,2995,2893,17,43,true
5,prasle-line,50,3091,2918,18,37,true
6,prasle-line,50,2997,2892,1,41,true
7,prasle-line,50,2947,2800,1,43,true
8,prasle-line,50,2957,2872,1,33,true
9,prasle-line,50,2759,3038,1,35,true
10,prasle-line,50,2761,2852,23,35,true
