trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-mesh,100,2995,2967,40,82,true
2,prasle-mesh,100,2766,2829,1,54,true
3,prasle-mesh,100,2735,2728,31,95,true
4,prasle-mesh,100,2782,2858,41,66,true
5,prasle-mesh,100,2762,2827,36,83,true
6,prasle-mesh,100,3000,2785,1,97,true
7,prasle-mesh,100,2828,2874,25,98,true
8,prasle-mesh,100,3091,2987,1,95,true
9,prasle-mesh,100,2867,2777,1,86,true
10,prasle-mesh,100,2793,2847,28,54,true
